date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
02-Sep-19,14,20,24,36,40,10
29-Aug-19,2,22,26,30,42,7
26-Aug-19,11,22,25,32,39,3
22-Aug-19,5,12,40,43,44,5
19-Aug-19,3,4,5,7,34,5
15-Aug-19,4,8,15,17,32,6
12-Aug-19,3,20,26,27,32,5
08-Aug-19,13,22,26,39,40,8
05-Aug-19,9,13,18,39,40,5
01-Aug-19,15,16,21,37,40,3
29-Jul-19,18,21,23,34,39,3
25-Jul-19,5,14,26,33,36,10
22-Jul-19,8,23,26,28,31,9
18-Jul-19,15,23,25,38,42,3
15-Jul-19,2,17,23,27,34,5
11-Jul-19,4,12,21,42,43,2
08-Jul-19,5,15,18,32,36,4
04-Jul-19,19,20,35,40,42,8
01-Jul-19,3,11,21,35,45,9
27-Jun-19,3,6,34,43,47,7
24-Jun-19,2,4,17,30,34,3
20-Jun-19,6,10,27,40,45,7
17-Jun-19,9,12,25,33,44,5
13-Jun-19,10,16,28,29,46,4
10-Jun-19,23,29,33,40,43,8
06-Jun-19,7,12,20,25,36,2
03-Jun-19,1,9,20,24,46,5
30-May-19,4,20,23,25,27,2
27-May-19,7,15,41,42,44,9
23-May-19,15,21,31,44,45,3
20-May-19,4,9,15,29,44,3
16-May-19,15,23,31,32,33,9
13-May-19,2,11,27,42,47,6
09-May-19,3,6,9,32,47,4
06-May-19,2,6,7,30,37,3
02-May-19,11,12,15,16,47,2
29-Apr-19,6,8,13,20,28,9
25-Apr-19,5,26,28,32,37,3
22-Apr-19,11,22,26,33,47,6
18-Apr-19,3,6,16,24,29,5
15-Apr-19,7,15,32,46,47,8
11-Apr-19,5,7,41,44,45,6
08-Apr-19,1,6,19,24,35,9
04-Apr-19,1,20,42,43,47,3
01-Apr-19,6,15,24,35,41,7
28-Mar-19,8,16,36,39,44,3
25-Mar-19,2,6,9,23,30,2
21-Mar-19,2,3,4,25,46,6
18-Mar-19,4,6,17,20,35,10
