date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
28-Oct-24,12,15,39,43,47,5
24-Oct-24,2,11,29,37,45,6
21-Oct-24,8,15,19,32,38,9
17-Oct-24,12,17,27,32,43,3
14-Oct-24,3,15,28,32,34,5
10-Oct-24,7,13,18,20,31,8
07-Oct-24,17,18,22,23,29,7
03-Oct-24,22,33,34,35,43,10
30-Sep-24,6,14,21,24,36,1
26-Sep-24,27,32,33,41,47,4
23-Sep-24,12,18,30,35,43,6
19-Sep-24,5,6,30,46,47,5
16-Sep-24,12,13,15,17,30,10
12-Sep-24,1,4,23,38,39,3
09-Sep-24,4,6,32,35,45,6
05-Sep-24,3,5,23,32,44,8
02-Sep-24,3,9,21,22,31,10
29-Aug-24,4,8,21,25,43,9
26-Aug-24,2,29,33,37,41,9
22-Aug-24,15,30,32,33,39,4
19-Aug-24,23,33,35,42,43,6
15-Aug-24,11,25,26,34,47,8
12-Aug-24,20,27,42,43,46,9
08-Aug-24,6,10,17,24,40,8
05-Aug-24,8,23,31,38,47,9
01-Aug-24,2,6,18,24,34,2
29-Jul-24,6,8,11,24,45,2
25-Jul-24,7,20,25,30,33,3
22-Jul-24,1,3,9,26,32,1
18-Jul-24,5,7,27,38,46,8
15-Jul-24,2,6,10,29,47,3
11-Jul-24,7,11,15,21,32,6
08-Jul-24,11,34,35,44,45,10
04-Jul-24,5,10,14,19,34,8
01-Jul-24,4,6,8,19,34,9
27-Jun-24,8,15,27,32,33,5
24-Jun-24,20,32,33,43,45,10
20-Jun-24,10,18,24,27,38,5
17-Jun-24,6,22,23,36,41,6
13-Jun-24,10,16,19,24,28,3
10-Jun-24,28,30,31,32,42,10
06-Jun-24,3,24,29,31,41,6
03-Jun-24,2,11,15,19,38,8
30-May-24,5,11,12,25,26,7
27-May-24,4,7,13,28,34,3
23-May-24,14,20,31,40,43,9
20-May-24,9,10,25,32,41,8
16-May-24,4,12,16,21,26,3
13-May-24,5,10,19,23,44,10
09-May-24,1,14,17,27,35,9
06-May-24,11,15,26,33,44,10
02-May-24,5,10,14,35,45,4
29-Apr-24,6,18,22,29,40,9
25-Apr-24,3,27,43,46,47,2
22-Apr-24,1,17,26,39,46,6
18-Apr-24,6,18,26,35,41,5
15-Apr-24,1,3,21,22,27,10
11-Apr-24,11,13,19,27,42,8
08-Apr-24,3,5,6,36,43,1
04-Apr-24,2,9,16,17,41,3
01-Apr-24,19,30,35,40,44,2
28-Mar-24,5,10,19,26,41,4
25-Mar-24,11,23,24,26,35,2
21-Mar-24,3,4,11,14,18,7
18-Mar-24,2,11,19,38,43,6
14-Mar-24,4,11,22,25,34,6
11-Mar-24,12,21,30,35,44,9
07-Mar-24,11,29,32,34,42,9
04-Mar-24,7,15,25,30,38,9
29-Feb-24,4,6,28,29,45,4
26-Feb-24,3,10,21,24,39,2
22-Feb-24,16,17,19,23,38,5
19-Feb-24,7,11,12,36,46,9
15-Feb-24,5,11,25,30,42,6
12-Feb-24,6,20,27,29,36,8
08-Feb-24,13,19,26,37,43,5
05-Feb-24,3,4,8,10,28,1
01-Feb-24,3,7,11,23,29,7
29-Jan-24,7,29,35,40,46,8
25-Jan-24,7,20,23,36,44,4
22-Jan-24,6,23,26,27,34,2
18-Jan-24,9,15,22,40,44,5
15-Jan-24,4,14,21,35,36,5
11-Jan-24,15,16,23,35,42,1
08-Jan-24,19,31,37,39,40,4
04-Jan-24,12,14,26,39,46,4
01-Jan-24,1,20,26,36,38,6
28-Dec-23,13,14,35,36,41,9
25-Dec-23,2,15,21,41,47,2
21-Dec-23,4,8,17,18,21,6
18-Dec-23,1,13,18,32,47,1
14-Dec-23,12,13,16,21,44,10
11-Dec-23,12,14,20,28,41,9
07-Dec-23,2,3,37,39,45,1
04-Dec-23,4,11,16,46,47,1
30-Nov-23,5,40,42,43,46,4
27-Nov-23,10,12,35,37,47,1
23-Nov-23,10,14,19,35,41,1
20-Nov-23,6,9,11,22,46,5
16-Nov-23,12,18,30,40,41,8
13-Nov-23,3,11,33,38,45,10
09-Nov-23,9,11,27,36,47,9
06-Nov-23,2,5,11,15,27,10
02-Nov-23,12,20,41,42,46,8
30-Oct-23,6,12,13,18,19,7
26-Oct-23,2,11,23,43,46,10
23-Oct-23,11,30,34,35,38,1
19-Oct-23,12,14,38,41,44,5
16-Oct-23,13,30,33,35,43,6
12-Oct-23,9,19,41,44,46,4
09-Oct-23,6,11,29,40,44,5
05-Oct-23,5,6,18,36,45,3
02-Oct-23,1,7,14,15,26,2
28-Sep-23,18,23,28,29,37,3
25-Sep-23,6,12,13,15,41,9
21-Sep-23,7,17,23,24,40,1
18-Sep-23,1,3,11,28,43,9
14-Sep-23,8,27,33,34,44,5
11-Sep-23,4,5,14,24,35,3
07-Sep-23,3,9,21,26,42,6
04-Sep-23,14,30,31,44,47,8
31-Aug-23,1,14,25,32,43,7
28-Aug-23,2,30,36,39,45,7
24-Aug-23,5,6,29,30,40,3
21-Aug-23,11,15,21,33,43,6
17-Aug-23,2,3,26,33,36,2
14-Aug-23,8,15,17,31,41,6
10-Aug-23,2,12,14,23,33,4
07-Aug-23,1,4,9,40,46,9
03-Aug-23,2,11,17,30,38,3
31-Jul-23,20,29,30,37,38,3
27-Jul-23,6,11,12,20,29,3
24-Jul-23,14,21,41,43,47,3
20-Jul-23,28,31,37,40,47,3
17-Jul-23,9,19,20,29,37,4
13-Jul-23,7,9,11,39,40,1
10-Jul-23,1,18,23,35,47,1
06-Jul-23,1,10,17,18,42,7
03-Jul-23,9,10,29,30,39,10
29-Jun-23,18,33,38,39,47,5
26-Jun-23,3,30,33,36,44,6
22-Jun-23,10,11,31,42,43,4
19-Jun-23,7,19,21,22,41,6
15-Jun-23,3,13,35,37,46,7
12-Jun-23,13,16,24,35,36,3
08-Jun-23,6,13,17,37,44,3
05-Jun-23,2,5,21,34,35,6
01-Jun-23,11,19,31,34,44,3
29-May-23,4,11,14,41,45,2
25-May-23,8,14,16,32,37,4
