date,n1,n2,n3,n4,n5,s1,s2
07-Nov-25,11,21,39,40,43,2,8
04-Nov-25,6,9,25,28,45,1,4
31-Oct-25,5,14,38,43,45,7,11
28-Oct-25,7,8,24,35,49,2,12
24-Oct-25,7,8,25,31,45,7,12
21-Oct-25,5,24,29,40,42,6,12
17-Oct-25,13,35,39,44,47,3,5
14-Oct-25,5,8,14,16,18,3,10
10-Oct-25,6,7,17,20,21,1,10
07-Oct-25,24,39,42,43,48,5,8
03-Oct-25,6,12,18,25,41,2,6
30-Sep-25,3,8,15,17,48,2,8
26-Sep-25,4,17,25,28,44,5,11
23-Sep-25,11,13,24,29,33,2,5
19-Sep-25,8,10,26,32,42,9,12
16-Sep-25,1,9,13,35,40,5,6
12-Sep-25,5,10,23,31,37,3,11
09-Sep-25,3,13,24,39,40,2,8
05-Sep-25,27,30,31,41,43,5,8
02-Sep-25,13,30,31,32,36,1,12
29-Aug-25,6,9,10,13,37,1,7
26-Aug-25,2,14,38,42,45,10,11
22-Aug-25,6,9,12,30,39,4,10
12-Aug-25,18,28,42,46,48,3,9
08-Aug-25,2,12,19,34,44,6,10
05-Aug-25,1,3,5,42,47,5,10
01-Aug-25,4,16,25,29,30,2,10
29-Jul-25,5,6,42,44,46,4,8
25-Jul-25,6,7,23,32,36,11,12
22-Jul-25,8,15,26,33,41,9,10
18-Jul-25,13,19,25,42,45,2,9
15-Jul-25,24,38,41,45,49,1,6
11-Jul-25,8,23,24,45,49,2,10
08-Jul-25,1,8,9,18,50,1,5
04-Jul-25,19,29,42,45,48,5,7
01-Jul-25,1,17,28,32,34,7,8
27-Jun-25,19,27,36,45,49,7,10
24-Jun-25,7,16,21,23,39,7,11
20-Jun-25,5,8,24,37,47,3,9
17-Jun-25,13,22,23,44,49,3,5
13-Jun-25,2,28,40,43,45,3,7
10-Jun-25,19,36,39,40,45,5,6
06-Jun-25,20,21,29,30,35,2,12
03-Jun-25,12,15,38,47,48,5,7
30-May-25,4,7,14,33,36,1,5
27-May-25,12,30,38,40,41,4,12
23-May-25,10,29,43,46,49,7,12
20-May-25,1,8,13,29,47,5,6
16-May-25,6,9,25,37,46,6,12
13-May-25,9,19,44,47,50,2,9
09-May-25,15,18,25,29,47,5,9
06-May-25,8,23,24,47,48,4,9
02-May-25,3,5,19,21,49,1,10
29-Apr-25,2,9,24,30,41,1,11
25-Apr-25,13,22,32,39,41,1,12
22-Apr-25,7,28,33,37,47,9,12
18-Apr-25,20,27,35,39,48,3,8
15-Apr-25,3,31,33,38,44,6,12
11-Apr-25,14,28,34,46,49,3,8
08-Apr-25,3,14,15,48,49,1,7
04-Apr-25,27,39,41,45,50,5,7
01-Apr-25,9,24,30,46,49,4,12
28-Mar-25,10,21,30,42,45,1,9
25-Mar-25,1,3,18,33,36,2,6
21-Mar-25,9,17,18,21,50,5,12
18-Mar-25,4,9,35,46,50,8,11
14-Mar-25,8,10,33,35,49,2,9
11-Mar-25,13,36,37,42,47,7,11
07-Mar-25,6,10,27,32,48,3,8
04-Mar-25,15,20,29,35,42,2,9
28-Feb-25,7,16,31,43,46,5,9
25-Feb-25,17,22,23,24,44,6,11
21-Feb-25,1,3,11,20,43,2,11
18-Feb-25,5,14,25,26,40,5,7
14-Feb-25,4,14,31,36,38,3,10
11-Feb-25,3,21,36,41,46,1,6
07-Feb-25,10,23,24,29,45,8,10
04-Feb-25,3,4,29,39,43,5,10
31-Jan-25,22,30,41,44,49,2,7
28-Jan-25,9,37,41,42,49,1,9
24-Jan-25,2,11,19,30,49,3,8
21-Jan-25,6,8,14,27,41,4,5
17-Jan-25,8,15,24,35,42,6,8
14-Jan-25,18,20,29,41,48,5,9
10-Jan-25,12,27,36,37,42,6,7
07-Jan-25,20,33,35,41,47,4,12
03-Jan-25,3,19,29,35,37,1,9
31-Dec-24,19,24,26,28,33,8,12
27-Dec-24,12,22,27,33,45,4,8
24-Dec-24,6,10,16,23,24,11,12
20-Dec-24,10,14,21,33,50,6,9
17-Dec-24,1,3,4,21,29,2,7
13-Dec-24,1,15,25,42,50,4,10
10-Dec-24,5,24,25,29,47,5,9
06-Dec-24,14,25,39,44,47,6,10
03-Dec-24,23,25,34,46,47,6,8
29-Nov-24,8,17,18,29,43,5,9
26-Nov-24,7,11,25,31,40,9,12
22-Nov-24,10,11,12,29,31,8,11
19-Nov-24,4,13,20,28,49,7,12
15-Nov-24,7,8,34,39,44,2,6
12-Nov-24,10,11,12,22,50,1,10
08-Nov-24,2,33,35,42,48,1,3
05-Nov-24,1,8,19,37,50,6,9
01-Nov-24,7,33,38,44,50,2,7
29-Oct-24,1,2,19,30,45,10,12
25-Oct-24,4,17,20,25,45,8,9
22-Oct-24,3,13,27,30,46,1,2
18-Oct-24,4,15,23,30,39,1,12
15-Oct-24,2,15,32,36,48,3,9
11-Oct-24,16,23,32,46,49,4,5
08-Oct-24,7,14,19,34,40,6,8
04-Oct-24,4,8,16,17,20,1,6
